image_filename,grain_count,average_grain_size_px2,average_pixel_confidence,phase_percentages,needs_review
RG1_1_1.jpg,27,3381.80,0.390,N/A (Grain Analysis),False
RG1_1_2.jpg,30,2918.35,0.400,N/A (Grain Analysis),False
RG1_1_3.jpg,22,4505.86,0.380,N/A (Grain Analysis),False
RG1_1_4.jpg,27,3263.91,0.398,N/A (Grain Analysis),False
RG1_2_1.jpg,32,2840.39,0.390,N/A (Grain Analysis),False
RG1_2_2.jpg,28,3373.70,0.382,N/A (Grain Analysis),False
RG1_2_3.jpg,24,4173.94,0.369,N/A (Grain Analysis),False
RG1_2_4.jpg,30,3210.98,0.380,N/A (Grain Analysis),False
RG1_3_1.jpg,30,3118.27,0.380,N/A (Grain Analysis),False
RG1_3_2.jpg,24,4194.42,0.375,N/A (Grain Analysis),False
RG1_3_3.jpg,24,3927.02,0.377,N/A (Grain Analysis),False
RG1_3_4.jpg,34,2474.41,0.395,N/A (Grain Analysis),False
RG2_1_1.jpg,39,2273.14,0.399,N/A (Grain Analysis),False
RG2_1_2.jpg,34,2545.72,0.398,N/A (Grain Analysis),False
RG2_1_3.jpg,28,3298.43,0.387,N/A (Grain Analysis),False
RG2_1_4.jpg,31,2797.79,0.401,N/A (Grain Analysis),False
RG2_2_1.jpg,36,2476.28,0.395,N/A (Grain Analysis),False
RG2_2_2.jpg,34,2767.43,0.375,N/A (Grain Analysis),False
RG2_2_3.jpg,27,3562.91,0.380,N/A (Grain Analysis),False
RG2_2_4.jpg,26,3377.23,0.398,N/A (Grain Analysis),False
RG2_3_1.jpg,25,3830.26,0.380,N/A (Grain Analysis),False
RG2_3_2.jpg,27,3448.17,0.379,N/A (Grain Analysis),False
RG2_3_3.jpg,27,3551.19,0.376,N/A (Grain Analysis),False
RG2_3_4.jpg,30,3153.75,0.380,N/A (Grain Analysis),False
RG3_1_1.jpg,32,2965.50,0.386,N/A (Grain Analysis),False
RG3_1_2.jpg,30,3342.03,0.377,N/A (Grain Analysis),False
RG3_1_3.jpg,33,2651.06,0.403,N/A (Grain Analysis),False
RG3_1_4.jpg,33,2595.32,0.411,N/A (Grain Analysis),False
RG3_2_1.jpg,31,3214.63,0.373,N/A (Grain Analysis),False
RG3_2_2.jpg,30,3001.82,0.394,N/A (Grain Analysis),False
RG3_2_3.jpg,33,2692.74,0.390,N/A (Grain Analysis),False
RG3_2_4.jpg,28,3170.04,0.392,N/A (Grain Analysis),False
RG3_3_1.jpg,32,2867.42,0.386,N/A (Grain Analysis),False
RG3_3_2.jpg,29,3283.98,0.386,N/A (Grain Analysis),False
RG3_3_3.jpg,30,3074.43,0.392,N/A (Grain Analysis),False
RG3_3_4.jpg,24,3608.50,0.397,N/A (Grain Analysis),False
RG4_1_1.jpg,23,4587.00,0.365,N/A (Grain Analysis),False
RG4_1_2.jpg,27,3644.41,0.383,N/A (Grain Analysis),False
RG4_1_3.jpg,28,3559.93,0.377,N/A (Grain Analysis),False
RG4_1_4.jpg,30,3075.22,0.397,N/A (Grain Analysis),False
RG4_2_1.jpg,32,2905.98,0.388,N/A (Grain Analysis),False
RG4_2_2.jpg,30,3252.18,0.376,N/A (Grain Analysis),False
RG4_2_3.jpg,29,3246.50,0.387,N/A (Grain Analysis),False
RG4_2_4.jpg,29,3219.10,0.387,N/A (Grain Analysis),False
RG4_3_1.jpg,24,4377.54,0.366,N/A (Grain Analysis),False
RG4_3_2.jpg,29,3289.05,0.385,N/A (Grain Analysis),False
RG4_3_3.jpg,26,3741.92,0.374,N/A (Grain Analysis),False
RG4_3_4.jpg,35,2568.43,0.393,N/A (Grain Analysis),False
RG5_1_1.jpg,29,3247.50,0.399,N/A (Grain Analysis),False
RG5_1_2.jpg,30,2988.65,0.397,N/A (Grain Analysis),False
RG5_1_3.jpg,36,2384.33,0.410,N/A (Grain Analysis),False
RG5_1_4.jpg,27,3669.13,0.381,N/A (Grain Analysis),False
RG5_2_1.jpg,26,3835.90,0.383,N/A (Grain Analysis),False
RG5_2_2.jpg,22,4656.77,0.375,N/A (Grain Analysis),False
RG5_2_3.jpg,26,3745.71,0.375,N/A (Grain Analysis),False
RG5_2_4.jpg,33,2741.82,0.391,N/A (Grain Analysis),False
RG5_3_1.jpg,28,3513.79,0.377,N/A (Grain Analysis),False
RG5_3_2.jpg,26,3636.44,0.385,N/A (Grain Analysis),False
RG5_3_3.jpg,28,3534.84,0.371,N/A (Grain Analysis),False
RG5_3_4.jpg,33,2810.74,0.387,N/A (Grain Analysis),False
RG6_1_1.jpg,30,3021.10,0.396,N/A (Grain Analysis),False
RG6_1_2.jpg,33,2774.94,0.388,N/A (Grain Analysis),False
RG6_1_3.jpg,31,2923.29,0.387,N/A (Grain Analysis),False
RG6_1_4.jpg,25,3782.80,0.390,N/A (Grain Analysis),False
RG6_2_1.jpg,29,3148.53,0.389,N/A (Grain Analysis),False
